party,AGH_WK,registered_voters,predicted_share,lo,hi
GRUENE,0101,29975,32.4,32.2,32.7
LINKE,0101,29975,18.1,17.9,18.5
CDU,0101,29975,16.6,16.0,16.8
SPD,0101,29975,9.9,9.6,10.0
Sonstige,0101,29975,9.2,9.1,9.4
AFD,0101,29975,5.8,5.6,6.1
FDP,0101,29975,4.6,4.5,4.7
LINKE,0102,32640,23.9,23.6,24.3
GRUENE,0102,32640,22.4,22.0,22.8
CDU,0102,32640,18.8,17.7,19.0
SPD,0102,32640,11.1,10.8,11.2
Sonstige,0102,32640,10.1,9.8,10.3
AFD,0102,32640,9.4,9.1,10.2
FDP,0102,32640,3.9,3.8,3.9
GRUENE,0103,29937,29.4,29.2,29.7
LINKE,0103,29937,17.7,17.6,18.1
CDU,0103,29937,17.4,16.0,17.6
SPD,0103,29937,11.8,11.6,11.9
Sonstige,0103,29937,8.8,8.6,9.0
AFD,0103,29937,6.8,6.6,7.1
FDP,0103,29937,4.0,3.9,4.1
GRUENE,0104,28924,36.3,36.0,36.9
LINKE,0104,28924,22.7,22.5,23.2
Sonstige,0104,28924,10.2,10.0,10.4
CDU,0104,28924,10.1,8.5,10.4
SPD,0104,28924,9.8,9.5,9.9
AFD,0104,28924,5.7,5.5,6.1
FDP,0104,28924,2.9,2.6,3.1
GRUENE,0105,27516,23.1,22.8,23.3
LINKE,0105,27516,19.4,19.3,19.8
CDU,0105,27516,17.9,16.2,18.0
SPD,0105,27516,12.2,12.0,12.3
Sonstige,0105,27516,10.7,10.4,10.9
AFD,0105,27516,10.2,9.9,10.7
FDP,0105,27516,2.9,2.6,3.1
GRUENE,0106,26623,30.1,29.7,30.4
LINKE,0106,26623,27.5,27.3,28.1
Sonstige,0106,26623,11.4,11.1,11.7
SPD,0106,26623,9.8,9.6,9.9
CDU,0106,26623,9.4,7.6,9.7
AFD,0106,26623,7.7,7.4,8.1
FDP,0106,26623,2.4,2.1,2.6
GRUENE,0107,28271,31.5,31.2,31.8
LINKE,0107,28271,23.3,23.2,23.9
CDU,0107,28271,11.2,9.3,11.5
Sonstige,0107,28271,10.7,10.5,11.0
SPD,0107,28271,10.4,10.1,10.5
AFD,0107,28271,7.1,6.8,7.4
FDP,0107,28271,2.6,2.3,2.8
GRUENE,0201,31448,30.5,30.2,30.8
LINKE,0201,31448,22.7,22.5,23.2
CDU,0201,31448,10.1,9.2,10.3
SPD,0201,31448,9.6,9.4,9.7
Sonstige,0201,31448,9.2,8.9,9.5
AFD,0201,31448,5.9,5.3,6.3
FDP,0201,31448,2.6,2.4,2.7
GRUENE,0202,32779,39.4,39.1,40.0
LINKE,0202,32779,23.1,22.9,23.6
SPD,0202,32779,10.0,9.7,10.1
Sonstige,0202,32779,9.0,8.8,9.3
CDU,0202,32779,8.7,7.2,9.0
AFD,0202,32779,3.8,3.3,4.1
FDP,0202,32779,3.0,2.8,3.2
GRUENE,0203,33995,37.0,36.7,37.2
LINKE,0203,33995,26.7,26.5,27.4
Sonstige,0203,33995,9.5,9.0,9.8
SPD,0203,33995,8.6,8.4,8.8
CDU,0203,33995,7.8,7.0,8.1
AFD,0203,33995,5.2,4.6,5.4
FDP,0203,33995,2.9,2.7,3.1
GRUENE,0204,35073,26.7,26.5,26.9
LINKE,0204,35073,26.3,26.2,26.8
CDU,0204,35073,12.6,11.7,12.8
Sonstige,0204,35073,11.2,11.0,11.4
SPD,0204,35073,10.6,10.4,10.7
AFD,0204,35073,7.6,6.9,7.9
FDP,0204,35073,2.9,2.7,3.0
GRUENE,0205,33720,38.2,37.8,38.4
LINKE,0205,33720,27.0,26.9,27.7
Sonstige,0205,33720,10.9,10.5,11.2
SPD,0205,33720,8.2,8.0,8.4
CDU,0205,33720,7.3,6.3,7.6
AFD,0205,33720,4.9,4.5,5.1
FDP,0205,33720,3.1,2.8,3.2
CDU,0301,34427,29.1,28.4,29.2
AFD,0301,34427,18.6,17.8,19.6
LINKE,0301,34427,15.9,15.8,16.2
Sonstige,0301,34427,12.5,12.2,12.7
SPD,0301,34427,12.0,11.7,12.1
GRUENE,0301,34427,10.3,10.0,10.6
FDP,0301,34427,3.3,3.1,3.4
CDU,0302,32753,25.6,24.1,25.7
LINKE,0302,32753,16.9,16.8,17.2
GRUENE,0302,32753,15.8,15.6,16.0
AFD,0302,32753,14.6,14.1,15.8
SPD,0302,32753,12.2,11.9,12.2
Sonstige,0302,32753,11.7,11.4,11.9
FDP,0302,32753,3.6,3.4,3.7
GRUENE,0303,33033,24.4,24.1,24.8
LINKE,0303,33033,21.9,21.7,22.4
CDU,0303,33033,16.9,16.3,17.0
SPD,0303,33033,11.5,11.2,11.6
Sonstige,0303,33033,11.1,10.9,11.3
AFD,0303,33033,10.5,10.2,10.9
FDP,0303,33033,3.1,2.8,3.2
CDU,0304,28500,23.9,22.3,24.1
LINKE,0304,28500,20.3,20.2,20.7
AFD,0304,28500,14.9,14.4,16.0
GRUENE,0304,28500,13.9,13.6,14.1
SPD,0304,28500,12.5,12.3,12.6
Sonstige,0304,28500,11.9,11.7,12.1
FDP,0304,28500,3.2,3.0,3.3
LINKE,0305,30174,23.4,23.2,24.0
GRUENE,0305,30174,22.0,21.7,22.3
CDU,0305,30174,17.0,16.6,17.1
Sonstige,0305,30174,12.2,11.9,12.4
AFD,0305,30174,11.4,11.2,11.9
SPD,0305,30174,11.3,11.0,11.4
FDP,0305,30174,2.9,2.6,3.0
GRUENE,0306,30549,39.3,39.0,39.6
LINKE,0306,30549,24.1,24.0,24.7
Sonstige,0306,30549,9.3,9.1,9.6
CDU,0306,30549,9.1,8.8,9.5
SPD,0306,30549,9.1,8.8,9.2
AFD,0306,30549,5.2,5.0,5.8
FDP,0306,30549,3.5,3.3,3.6
GRUENE,0307,29581,30.6,30.4,30.8
LINKE,0307,29581,24.5,24.4,25.1
CDU,0307,29581,12.2,11.7,12.4
Sonstige,0307,29581,11.6,11.4,11.8
SPD,0307,29581,9.6,9.4,9.7
AFD,0307,29581,7.9,7.8,8.2
FDP,0307,29581,3.1,2.8,3.2
GRUENE,0308,28733,36.4,36.2,36.7
LINKE,0308,28733,23.6,23.4,24.1
CDU,0308,28733,11.0,10.6,11.2
SPD,0308,28733,9.3,9.1,9.5
Sonstige,0308,28733,9.1,8.8,9.3
AFD,0308,28733,5.4,5.3,5.7
FDP,0308,28733,4.0,3.8,4.1
GRUENE,0309,32853,26.6,26.4,26.9
LINKE,0309,32853,23.9,23.7,24.3
CDU,0309,32853,14.2,13.2,14.4
SPD,0309,32853,11.5,11.3,11.6
Sonstige,0309,32853,11.0,10.8,11.2
AFD,0309,32853,9.3,8.7,9.5
FDP,0309,32853,3.3,3.0,3.4
CDU,0401,28127,21.1,19.4,21.2
GRUENE,0401,28127,20.4,20.2,20.5
LINKE,0401,28127,13.6,13.5,13.9
SPD,0401,28127,12.8,12.5,12.8
AFD,0401,28127,10.0,9.6,10.7
Sonstige,0401,28127,9.6,9.5,9.8
FDP,0401,28127,3.5,3.4,3.6
CDU,0402,30734,29.5,28.7,29.6
GRUENE,0402,30734,18.1,18.0,18.2
SPD,0402,30734,14.1,13.8,14.2
LINKE,0402,30734,10.1,10.0,10.3
AFD,0402,30734,9.9,9.6,10.1
Sonstige,0402,30734,7.8,7.6,8.0
FDP,0402,30734,4.8,4.7,4.9
GRUENE,0403,30500,27.0,26.7,27.4
CDU,0403,30500,19.8,17.8,20.0
LINKE,0403,30500,15.3,15.2,15.8
SPD,0403,30500,12.8,12.5,12.9
AFD,0403,30500,7.7,7.5,7.9
Sonstige,0403,30500,7.7,7.5,7.9
FDP,0403,30500,4.1,4.0,4.2
GRUENE,0404,31659,25.1,24.9,25.2
CDU,0404,31659,22.2,19.9,22.4
LINKE,0404,31659,13.2,13.1,13.4
SPD,0404,31659,13.1,12.9,13.2
Sonstige,0404,31659,8.0,7.7,8.1
AFD,0404,31659,7.9,7.7,8.6
FDP,0404,31659,4.7,4.5,4.9
CDU,0405,30094,30.3,30.0,31.2
GRUENE,0405,30094,17.4,17.3,17.6
SPD,0405,30094,13.3,13.0,13.4
AFD,0405,30094,9.8,9.6,10.3
LINKE,0405,30094,9.8,9.7,10.0
Sonstige,0405,30094,7.3,7.0,7.4
FDP,0405,30094,5.4,5.2,5.9
GRUENE,0406,30977,25.6,25.4,25.8
CDU,0406,30977,21.8,19.8,22.0
SPD,0406,30977,13.6,13.3,13.7
LINKE,0406,30977,13.0,12.9,13.2
Sonstige,0406,30977,7.8,7.6,7.9
AFD,0406,30977,7.5,7.3,7.9
FDP,0406,30977,4.5,4.4,4.6
CDU,0407,32058,25.7,24.1,25.8
GRUENE,0407,32058,20.5,20.4,20.7
SPD,0407,32058,14.3,14.0,14.4
LINKE,0407,32058,12.2,12.1,12.4
AFD,0407,32058,9.4,9.2,9.8
Sonstige,0407,32058,7.8,7.5,7.9
FDP,0407,32058,4.5,4.4,4.6
CDU,0501,33631,30.5,29.7,30.6
SPD,0501,33631,14.2,13.9,14.3
AFD,0501,33631,14.1,13.9,14.9
GRUENE,0501,33631,11.0,10.8,11.1
Sonstige,0501,33631,10.8,10.6,11.0
LINKE,0501,33631,10.0,9.9,10.2
FDP,0501,33631,4.0,3.8,4.0
CDU,0502,28541,27.6,26.7,27.7
AFD,0502,28541,14.8,14.6,15.1
SPD,0502,28541,14.7,14.4,14.8
GRUENE,0502,28541,11.9,11.7,12.1
Sonstige,0502,28541,11.7,11.6,11.9
LINKE,0502,28541,10.8,10.7,11.1
FDP,0502,28541,3.7,3.5,3.8
CDU,0503,32463,27.9,26.7,28.0
AFD,0503,32463,13.7,13.5,14.2
SPD,0503,32463,13.7,13.4,13.8
GRUENE,0503,32463,13.6,13.4,13.8
Sonstige,0503,32463,11.5,11.3,11.8
LINKE,0503,32463,11.1,11.0,11.3
FDP,0503,32463,3.8,3.5,3.8
CDU,0504,30986,35.1,34.8,36.6
AFD,0504,30986,14.2,14.0,14.5
SPD,0504,30986,13.5,13.2,13.6
Sonstige,0504,30986,9.3,9.1,9.5
GRUENE,0504,30986,8.3,8.1,8.5
LINKE,0504,30986,7.2,7.0,7.3
FDP,0504,30986,4.0,3.8,4.1
CDU,0505,31472,34.7,34.5,35.4
SPD,0505,31472,13.7,13.4,13.8
AFD,0505,31472,12.4,12.0,12.6
GRUENE,0505,31472,10.9,10.7,11.0
Sonstige,0505,31472,7.7,7.5,7.8
LINKE,0505,31472,6.5,6.4,6.7
FDP,0505,31472,4.6,4.5,4.7
CDU,0601,31551,24.1,22.2,24.2
GRUENE,0601,31551,23.8,23.7,24.1
SPD,0601,31551,13.5,13.3,13.6
LINKE,0601,31551,12.5,12.4,12.7
Sonstige,0601,31551,8.3,8.1,8.4
AFD,0601,31551,8.2,8.1,8.6
FDP,0601,31551,4.5,4.3,4.5
CDU,0602,30751,24.3,22.5,24.4
GRUENE,0602,30751,21.2,21.1,21.4
SPD,0602,30751,14.0,13.8,14.1
