id,AGH_WK,BTW_WK,registered_voters,party,predicted_share,lo,hi
01B1A,0101,74,1815,GRUENE,29.5,29.2,29.7
01B1A,0101,74,1815,LINKE,19.1,18.9,19.6
01B1A,0101,74,1815,CDU,16.3,15.8,16.8
01B1A,0101,74,1815,Sonstige,10.2,10.0,10.4
01B1A,0101,74,1815,SPD,9.1,8.9,9.2
01B1A,0101,74,1815,FDP,4.8,4.5,4.9
01B1A,0101,74,1815,AFD,4.3,4.0,4.9
01B1B,0101,74,1638,GRUENE,34.0,33.8,34.2
01B1B,0101,74,1638,LINKE,22.7,22.5,23.3
01B1B,0101,74,1638,CDU,12.0,10.9,12.2
01B1B,0101,74,1638,SPD,9.6,9.3,9.7
01B1B,0101,74,1638,Sonstige,8.8,8.6,9.1
01B1B,0101,74,1638,AFD,5.0,4.8,5.6
01B1B,0101,74,1638,FDP,4.2,4.0,4.2
01B1C,0101,74,1599,GRUENE,35.4,35.1,35.6
01B1C,0101,74,1599,LINKE,22.1,22.0,22.7
01B1C,0101,74,1599,CDU,11.1,10.5,11.3
01B1C,0101,74,1599,SPD,9.9,9.6,10.0
01B1C,0101,74,1599,Sonstige,9.5,9.3,9.8
01B1C,0101,74,1599,AFD,4.5,4.3,5.1
01B1C,0101,74,1599,FDP,4.0,3.9,4.1
01B1D,0101,74,1923,GRUENE,24.6,24.2,24.8
01B1D,0101,74,1923,LINKE,20.2,20.1,20.8
01B1D,0101,74,1923,CDU,16.9,16.1,17.1
01B1D,0101,74,1923,SPD,13.4,13.2,13.6
01B1D,0101,74,1923,Sonstige,9.6,9.2,9.9
01B1D,0101,74,1923,AFD,8.1,7.9,8.5
01B1D,0101,74,1923,FDP,4.2,4.1,4.3
01B1E,0101,74,1678,GRUENE,27.1,26.9,27.3
01B1E,0101,74,1678,CDU,19.5,19.1,20.0
01B1E,0101,74,1678,LINKE,16.9,16.7,17.4
01B1E,0101,74,1678,SPD,11.1,10.8,11.2
01B1E,0101,74,1678,Sonstige,7.9,7.6,8.1
01B1E,0101,74,1678,AFD,6.7,6.4,7.2
01B1E,0101,74,1678,FDP,5.1,4.9,5.1
01B1F,0101,74,2858,GRUENE,25.7,25.3,26.2
01B1F,0101,74,2858,CDU,19.4,18.8,21.7
01B1F,0101,74,2858,LINKE,16.1,15.9,16.6
01B1F,0101,74,2858,Sonstige,11.0,10.7,11.4
01B1F,0101,74,2858,SPD,9.7,9.5,9.8
01B1F,0101,74,2858,FDP,4.5,4.2,4.6
01B1F,0101,74,2858,AFD,4.1,3.8,4.5
01B1G,0101,74,1663,GRUENE,31.9,31.6,32.1
01B1G,0101,74,1663,LINKE,21.6,21.4,22.1
01B1G,0101,74,1663,CDU,13.6,12.8,13.9
01B1G,0101,74,1663,SPD,10.4,10.1,10.5
01B1G,0101,74,1663,Sonstige,8.1,7.8,8.4
01B1G,0101,74,1663,AFD,5.3,5.1,5.8
01B1G,0101,74,1663,FDP,4.8,4.6,4.9
01B1H,0101,74,2382,GRUENE,24.7,24.4,25.0
01B1H,0101,74,2382,CDU,19.1,18.7,20.9
01B1H,0101,74,2382,LINKE,15.7,15.5,16.0
01B1H,0101,74,2382,Sonstige,10.9,10.7,11.1
01B1H,0101,74,2382,SPD,10.4,10.1,10.5
01B1H,0101,74,2382,AFD,5.8,5.5,6.1
01B1H,0101,74,2382,FDP,5.0,4.8,5.1
01B1J,0101,74,1602,GRUENE,34.6,34.3,34.9
01B1J,0101,74,1602,LINKE,22.3,22.1,22.8
01B1J,0101,74,1602,CDU,10.9,10.3,11.2
01B1J,0101,74,1602,SPD,10.3,10.1,10.5
01B1J,0101,74,1602,Sonstige,9.4,9.2,9.7
01B1J,0101,74,1602,AFD,4.3,4.1,4.9
01B1J,0101,74,1602,FDP,4.2,4.0,4.2
01B1K,0101,74,926,GRUENE,26.7,26.5,27.0
01B1K,0101,74,926,LINKE,20.6,20.4,21.2
