id,AGH_WK,BTW_WK,registered_voters,party,predicted_share,lo,hi
01W101,0101,74,804,GRUENE,27.2,27.0,27.5
01W101,0101,74,804,LINKE,23.8,23.6,24.0
01W101,0101,74,804,AFD,13.7,12.5,14.0
01W101,0101,74,804,CDU,13.3,13.2,13.5
01W101,0101,74,804,Sonstige,11.0,10.8,11.1
01W101,0101,74,804,SPD,9.6,9.2,9.7
01W101,0101,74,804,FDP,2.8,2.7,3.0
01W102,0101,74,843,GRUENE,33.5,33.2,33.7
01W102,0101,74,843,LINKE,27.4,27.1,27.5
01W102,0101,74,843,CDU,11.2,11.0,11.4
01W102,0101,74,843,Sonstige,9.4,9.3,9.5
01W102,0101,74,843,SPD,9.3,8.6,9.5
01W102,0101,74,843,AFD,9.1,8.0,9.4
01W102,0101,74,843,FDP,3.1,3.1,3.4
01W103,0101,74,795,GRUENE,36.1,35.8,36.3
01W103,0101,74,795,LINKE,28.0,27.7,28.1
01W103,0101,74,795,CDU,10.0,9.7,10.2
01W103,0101,74,795,AFD,9.0,8.1,9.3
01W103,0101,74,795,Sonstige,8.8,8.6,8.9
01W103,0101,74,795,SPD,8.6,8.3,8.8
01W103,0101,74,795,FDP,3.3,3.2,3.4
01W104,0101,74,854,GRUENE,32.7,32.4,32.9
01W104,0101,74,854,LINKE,26.1,25.8,26.2
01W104,0101,74,854,CDU,10.8,10.7,11.1
01W104,0101,74,854,SPD,10.6,10.4,10.8
01W104,0101,74,854,AFD,10.1,9.7,10.5
01W104,0101,74,854,Sonstige,8.6,8.5,8.8
01W104,0101,74,854,FDP,3.5,3.4,3.6
01W105,0101,74,358,GRUENE,25.3,25.1,25.5
01W105,0101,74,358,LINKE,23.5,23.2,23.6
01W105,0101,74,358,AFD,15.9,15.2,16.2
01W105,0101,74,358,CDU,15.5,15.4,15.8
01W105,0101,74,358,Sonstige,10.7,10.5,10.8
01W105,0101,74,358,SPD,8.5,8.3,8.9
01W105,0101,74,358,FDP,3.7,3.6,3.8
01W106,0101,74,1394,GRUENE,27.8,27.5,28.3
01W106,0101,74,1394,CDU,17.5,17.4,17.9
01W106,0101,74,1394,LINKE,16.5,16.1,16.8
01W106,0101,74,1394,Sonstige,13.5,13.2,13.6
01W106,0101,74,1394,SPD,9.0,8.3,9.4
01W106,0101,74,1394,AFD,6.2,4.4,6.7
01W106,0101,74,1394,FDP,3.1,3.0,3.5
01W107,0101,74,904,GRUENE,33.5,33.2,33.8
01W107,0101,74,904,LINKE,27.1,26.9,27.2
01W107,0101,74,904,CDU,10.7,10.4,10.9
01W107,0101,74,904,Sonstige,9.9,9.7,10.0
01W107,0101,74,904,AFD,9.8,9.1,10.0
01W107,0101,74,904,SPD,8.7,8.5,9.1
01W107,0101,74,904,FDP,3.5,3.4,3.6
01W108,0101,74,843,GRUENE,34.8,34.5,35.1
01W108,0101,74,843,LINKE,25.5,25.3,25.6
01W108,0101,74,843,CDU,12.0,11.8,12.3
01W108,0101,74,843,SPD,9.1,8.9,9.4
01W108,0101,74,843,Sonstige,8.9,8.8,9.1
01W108,0101,74,843,AFD,7.8,7.2,8.1
01W108,0101,74,843,FDP,3.7,3.7,3.8
01W109,0101,74,695,GRUENE,31.8,31.6,32.1
01W109,0101,74,695,LINKE,27.2,26.9,27.3
01W109,0101,74,695,CDU,11.1,10.9,11.3
01W109,0101,74,695,AFD,10.7,10.2,11.0
01W109,0101,74,695,Sonstige,10.6,10.4,10.7
01W109,0101,74,695,SPD,7.3,7.1,8.4
01W109,0101,74,695,FDP,3.0,2.9,3.2
01W110,0101,74,1080,AFD,22.7,22.3,23.8
01W110,0101,74,1080,LINKE,21.8,21.4,22.0
01W110,0101,74,1080,CDU,21.0,20.9,21.4
01W110,0101,74,1080,GRUENE,13.2,12.9,13.5
01W110,0101,74,1080,SPD,12.1,11.8,12.4
01W110,0101,74,1080,Sonstige,9.5,9.4,9.7
01W110,0101,74,1080,FDP,2.2,2.1,2.5
01W111,0101,74,473,GRUENE,26.8,26.6,27.0
01W111,0101,74,473,LINKE,24.2,23.9,24.4
01W111,0101,74,473,AFD,14.5,13.6,14.8
01W111,0101,74,473,CDU,12.7,12.6,12.9
01W111,0101,74,473,Sonstige,10.8,10.5,11.0
01W111,0101,74,473,SPD,9.6,9.3,9.9
01W111,0101,74,473,FDP,2.8,2.7,3.0
01W112,0101,74,847,GRUENE,31.7,31.5,32.0
01W112,0101,74,847,LINKE,16.8,16.6,17.0
01W112,0101,74,847,CDU,16.7,16.6,16.9
01W112,0101,74,847,SPD,10.6,9.5,10.8
01W112,0101,74,847,Sonstige,10.4,10.2,10.5
01W112,0101,74,847,AFD,9.4,8.5,9.6
01W112,0101,74,847,FDP,3.9,3.8,4.1
01W113,0101,74,920,GRUENE,34.5,34.2,34.8
01W113,0101,74,920,LINKE,26.6,26.4,26.7
01W113,0101,74,920,CDU,10.9,10.7,11.1
01W113,0101,74,920,Sonstige,10.1,9.9,10.2
01W113,0101,74,920,AFD,8.9,8.3,9.1
01W113,0101,74,920,SPD,8.3,8.1,9.1
01W113,0101,74,920,FDP,3.4,3.3,3.5
01W114,0101,74,1011,GRUENE,29.8,29.6,30.3
01W114,0101,74,1011,LINKE,20.7,20.3,21.0
01W114,0101,74,1011,CDU,15.4,15.3,15.8
01W114,0101,74,1011,Sonstige,10.6,10.4,10.7
01W114,0101,74,1011,SPD,8.9,7.5,9.1
01W114,0101,74,1011,AFD,8.8,7.3,9.1
01W114,0101,74,1011,FDP,3.6,3.5,4.0
01W115,0101,74,926,GRUENE,33.8,33.4,34.0
01W115,0101,74,926,LINKE,24.5,24.2,24.6
01W115,0101,74,926,CDU,12.5,12.3,12.8
01W115,0101,74,926,SPD,9.5,9.4,10.0
01W115,0101,74,926,Sonstige,9.0,8.8,9.1
01W115,0101,74,926,AFD,8.8,8.3,9.1
01W115,0101,74,926,FDP,3.8,3.7,3.9
01W116,0101,74,809,GRUENE,31.5,31.3,31.8
01W116,0101,74,809,LINKE,29.3,28.9,29.4
01W116,0101,74,809,CDU,13.0,12.8,13.2
01W116,0101,74,809,SPD,9.1,8.7,9.3
01W116,0101,74,809,AFD,8.0,7.2,8.3
01W116,0101,74,809,Sonstige,7.4,7.2,7.5
01W116,0101,74,809,FDP,4.0,3.9,4.1
01W117,0101,74,1464,GRUENE,25.4,25.1,26.0
01W117,0101,74,1464,LINKE,20.6,20.1,20.9
01W117,0101,74,1464,CDU,16.1,15.9,16.4
01W117,0101,74,1464,Sonstige,11.8,11.6,12.0
01W117,0101,74,1464,SPD,10.8,9.1,11.1
01W117,0101,74,1464,AFD,8.9,8.1,9.3
01W117,0101,74,1464,FDP,2.1,2.0,2.7
01W118,0101,74,682,GRUENE,33.2,32.9,33.4
01W118,0101,74,682,LINKE,25.9,25.6,26.0
01W118,0101,74,682,Sonstige,10.9,10.7,11.0
01W118,0101,74,682,CDU,10.0,9.8,10.2
01W118,0101,74,682,AFD,10.0,9.3,10.2
01W118,0101,74,682,SPD,8.2,8.0,8.7
01W118,0101,74,682,FDP,3.0,3.0,3.3
01W119,0101,74,823,GRUENE,29.9,29.7,30.2
01W119,0101,74,823,LINKE,21.5,21.2,21.6
01W119,0101,74,823,CDU,15.2,15.1,15.4
01W119,0101,74,823,SPD,10.9,10.3,11.2
01W119,0101,74,823,Sonstige,9.2,9.0,9.3
01W119,0101,74,823,AFD,8.7,7.8,9.0
01W119,0101,74,823,FDP,4.0,3.9,4.1
01W120,0101,74,920,GRUENE,33.1,32.7,33.3
01W120,0101,74,920,LINKE,24.9,24.6,25.0
01W120,0101,74,920,CDU,13.1,12.8,13.3
01W120,0101,74,920,SPD,9.9,9.5,10.1
01W120,0101,74,920,Sonstige,9.7,9.6,9.8
01W120,0101,74,920,AFD,6.0,5.3,6.3
01W120,0101,74,920,FDP,4.3,4.2,4.4
01W121,0101,74,915,GRUENE,26.7,26.5,27.0
01W121,0101,74,915,LINKE,24.5,24.2,24.7
01W121,0101,74,915,CDU,15.6,15.4,15.9
01W121,0101,74,915,AFD,12.7,11.9,12.9
01W121,0101,74,915,Sonstige,9.5,9.3,9.6
01W121,0101,74,915,SPD,8.3,8.1,8.6
01W121,0101,74,915,FDP,4.1,3.9,4.2
01W122,0101,74,906,GRUENE,32.2,32.0,32.5
01W122,0101,74,906,LINKE,28.1,27.9,28.2
01W122,0101,74,906,CDU,10.7,10.5,10.9
01W122,0101,74,906,Sonstige,10.4,10.3,10.5
01W122,0101,74,906,SPD,8.8,8.6,9.0
01W122,0101,74,906,AFD,8.2,7.2,8.5
01W122,0101,74,906,FDP,3.3,3.2,3.5
01W123,0101,74,1019,GRUENE,31.0,30.8,31.3
01W123,0101,74,1019,LINKE,27.8,27.6,28.0
01W123,0101,74,1019,Sonstige,10.8,10.6,10.9
01W123,0101,74,1019,AFD,10.6,9.9,11.0
01W123,0101,74,1019,CDU,10.2,10.0,10.4
01W123,0101,74,1019,SPD,9.1,8.9,9.3
01W123,0101,74,1019,FDP,3.2,3.2,3.4
01W124,0101,74,979,GRUENE,28.4,28.1,28.7
01W124,0101,74,979,LINKE,22.6,22.3,22.7
01W124,0101,74,979,CDU,16.4,16.3,16.6
01W124,0101,74,979,SPD,10.4,9.6,10.6
01W124,0101,74,979,AFD,9.9,8.8,10.0
01W124,0101,74,979,Sonstige,8.0,7.8,8.1
01W124,0101,74,979,FDP,4.3,4.2,4.4
01W125,0101,74,1425,GRUENE,25.0,24.8,25.3
01W125,0101,74,1425,LINKE,22.2,21.8,22.4
01W125,0101,74,1425,CDU,15.0,14.9,15.3
01W125,0101,74,1425,AFD,12.2,11.6,12.6
01W125,0101,74,1425,SPD,11.3,9.9,11.6
01W125,0101,74,1425,Sonstige,10.5,10.3,10.7
01W125,0101,74,1425,FDP,2.6,2.5,3.0
01W126,0101,74,1032,GRUENE,35.1,34.8,35.5
01W126,0101,74,1032,LINKE,25.8,25.6,26.0
01W126,0101,74,1032,CDU,10.2,10.1,10.5
01W126,0101,74,1032,SPD,9.5,9.3,9.8
01W126,0101,74,1032,Sonstige,9.4,9.3,9.6
01W126,0101,74,1032,AFD,6.7,6.0,7.0
01W126,0101,74,1032,FDP,3.4,3.3,3.7
01W127,0101,74,959,GRUENE,30.4,30.0,30.7
01W127,0101,74,959,LINKE,26.7,26.4,26.8
01W127,0101,74,959,CDU,13.1,13.0,13.4
01W127,0101,74,959,AFD,10.6,10.2,11.0
01W127,0101,74,959,Sonstige,9.2,9.0,9.4
01W127,0101,74,959,SPD,7.7,7.6,9.0
01W127,0101,74,959,FDP,4.1,3.9,4.2
01W128,0101,74,931,LINKE,26.3,25.9,26.5
01W128,0101,74,931,GRUENE,23.2,22.9,23.5
01W128,0101,74,931,AFD,15.4,14.8,15.8
01W128,0101,74,931,CDU,14.2,14.1,14.5
01W128,0101,74,931,Sonstige,10.3,10.2,10.5
01W128,0101,74,931,SPD,9.0,8.7,9.2
01W128,0101,74,931,FDP,3.4,3.3,3.6
01W129,0101,74,778,GRUENE,26.7,26.4,27.0
01W129,0101,74,778,LINKE,26.2,25.9,26.4
01W129,0101,74,778,CDU,13.7,13.5,14.0
01W129,0101,74,778,AFD,12.2,11.6,12.6
01W129,0101,74,778,Sonstige,10.1,9.9,10.2
01W129,0101,74,778,SPD,8.7,8.5,9.2
01W129,0101,74,778,FDP,3.9,3.8,4.0
01W130,0101,74,731,GRUENE,27.8,27.6,28.1
01W130,0101,74,731,LINKE,23.7,23.3,23.8
01W130,0101,74,731,CDU,17.5,17.3,17.8
01W130,0101,74,731,SPD,10.1,9.2,10.3
01W130,0101,74,731,AFD,9.5,8.7,9.8
01W130,0101,74,731,Sonstige,7.1,6.9,7.2
01W130,0101,74,731,FDP,4.9,4.7,5.0
01W131,0101,74,955,GRUENE,27.3,27.0,27.6
01W131,0101,74,955,LINKE,23.2,22.9,23.3
01W131,0101,74,955,CDU,15.6,15.4,15.8
01W131,0101,74,955,AFD,13.1,12.2,13.3
01W131,0101,74,955,SPD,10.6,9.5,10.8
01W131,0101,74,955,Sonstige,8.4,8.3,8.5
01W131,0101,74,955,FDP,3.7,3.7,3.9
01W132,0101,74,943,LINKE,22.6,22.3,22.8
01W132,0101,74,943,GRUENE,22.2,22.0,22.5
01W132,0101,74,943,CDU,20.1,20.0,20.4
